cod_assunto|nome_novo
810|Rio Branco, José Maria da Silva Paranhos, Visconde Do, 1819-1880
811|Nobreza
813|Artes
814|Azulejos portugueses
815|Instituto de Odivelas (Portugal)
816|Brotero, José Maria de Avellar, 1798-1873
818|Monarquia
819|História, 1840-1910
820|Uniformes
822|Vasconcellos, Bernardo Pereira de, 1795-1850
823|Lobo, Jerônimo, 1595-1673
824|Thoynard, Nicolas, 1628-1706
825|Governo Artur da Silva Bernardes, 1922-1926
826|Araraquara (SP)
827|Távora, Juarez
828|Correa de Sá (Família)
829|Sociedade Auxiliadora da Industria Nacional
830|Latifúndio
831|Mortes, Rio Das
832|São João Del Rei (MG)
833|Petrópolis (RJ)
834|Revolta, 1922
835|Processos Celebres
836|Petit, Djalma Fontes Cordovil
837|Alagoas. Constituição
838|História, 1831-1834
840|Vice-Reino, 1762-1808
841|Almeida, Antônio Calmon Du Pin e
842|Fortaleza de Villegagnon (RJ)
844|Batista, Cícero Romão, 1844-1934
845|Igreja de Nossa Senhora da Candelária (RJ)
846|Camões, Luís de, 1524-1580
848|Capital Estrangeiro
849|Minério de Ferro
850|Pecuária
851|Costa, Cláudio Manoel da, 1729-1789
852|Santo André (SP)
853|Crespo, Olavo Correia, 1843-
855|Quipapá (PE)
856|Museu do Reconcavo Wanderley Pinho
859|Engenharia Naval
860|História, 1553-1554
861|Convento de Santo Antônio do Paraguaçú (BA)
862|Urbanização
863|Belém (PA)
864|Geisel (Familia)
865|Lacerda, Antônio de, 1834-1872
866|Geologia
867|Mineração
868|Etnografia
869|Antropologia cultural
870|Fecundidade
872|Séculos XVII-XX
874|Prates, Feliciano José Rodrigues, 1853-1859
876|Peixoto, Inácio José de Alvarenga, 1744-1793
877|Heliodora, Bárbara, C.1758-1819
879|Cubatão (SP)
880|Poluicão
881|Doce, Rio (Mg e ES)
882|Jundiaí (SP)
883|Instituto Histórico e Geográfico Brasileiro
884|História, 1838-1988
885|Martinho de Nantes, Frei
886|Capuchinhos
888|História, 1879-1925
889|Tibagí, Rio, Vale do
890|História, 1786-1774
891|Albuquerque, Fernando Prestes de
892|Partido Republicano Paulista
893|Política e Governo, 1889-1898
894|Parque Monumento Nacional de Monte Pascoal
895|Parques
896|Duarte, Romão de Mattos
897|Rodrigues, José Honório, 1913-1987
898|Língua Nambiquara
900|Centro Cívico Beneficente Sadock de Sá (RJ)
902|Altares
903|História, 1634-1789
905|Diniz, Lobo de Albuquerque, 1831-1906
906|Cardoso, Fausto de Aguiar, 1864
907|Rondon, Cândido Mariano da Silva, 1865-1958
909|Jordão, Armando de Carvalho, 1915-1969
910|Silva, Luíz Alves de Lima e, 1803-1880
911|Silva, José Bonifácio de Andrada e, 1763-1838
913|Silva, Bethencourt da
914|Governo Deodoro da Fonseca, 1889-1891
916|Maria, Virgem, Santa
917|Aparições e milagres
918|Barros, Prudente José de Moraes, 1841-1902
919|Peçanha (MG)
920|Caratinga (MG)
921|Sociedade José de Alencar (Ceará)
922|Artistas brasileiros
923|Labatut, Pierre, 1768-1849
925|Ottoni, José Eloy, 1764-1851
926|Durão, José de Santa Rita, Frei, 1720-1784
927|Climatologia
928|Literatura de cordel
929|Jockey Club Brasileiro (RJ)
930|Arquidiocese de São Sebastião do Rio de Janeiro
931|Santa Catarina. Constituição, 1935
932|Mato Grosso. Constituição, 1935
933|Infância, Problemas da
934|Associação das Senhoras Brasileiras (RJ)
936|Sales, Artur Gonçalves De, 1879-1951
937|Chiacchio, Carlos, 1884-1947
938|Correia, Roberto, 1876-1941
939|Colégio Nossa Senhora Auxiliadora (Vitória, ES)
940|Educação secundária
941|Vitória (ES)
942|Academia de Letras da Bahia
943|Academia Alagoana de Letras
947|Bezerra, Alcides, 1891-1938
948|História, 1867-1917
949|Descobertas científicas
952|Invenções científicas
954|Japoneses na America
955|Islamismo
957|Requião, Altamirando, 1893-1989
958|Escritores brasileiros
959|Partido Comunista Brasileiro
960|Prestes, Luís Carlos, 1898-1990
961|Santos (SP)
962|Crianças, Abuso Contra
964|Prostituição Infanto-Juvenil
966|Urbanismo
967|Indústria Têxtil
968|Coronelismo
969|Banditismo
970|História, 1565-1904
971|Tribunal de Segurança Nacional
972|Política e Governo, 1937-1945
974|Thompson, Edward Palmer, 1924-1993
976|Voto
977|Antropologia urbana
980|Vieira, Joaquim José
981|Bispos
983|Casa da Moeda da Bahia
984|Editores e editoras
985|Governo Floriano Peixoto, 1891-1894
986|Serviço de Obras Sociais
987|Ateneu Angrense de Letras e Artes
988|Mulher na política
991|Brasilianistas
993|Revolução Federalista, 1893-1895
994|Educação sexual
995|Meio ambiente
996|Proteção ambiental
997|Movimento estudantil
998|Política e Governo, 1968
999|Academia de Letras
1000|Fortaleza (CE)
1001|Minas Gerais. Decreto Nº 8864 de 7 de Novembro de 1928
1002|Povoamento
1003|Século Xv
1004|Atas
1006|Educação Moral e Cívica
1009|Bahia, Xisto de Paulo
1010|Morgan, Edwin Vernon, 1865-1934
1011|Pinheiro, Manuel
1012|História, 1800-1821
1013|Marques, Francisco Xavier Ferreira, 1861-1942
1014|História, 1702-1930
1017|Franceses no Rio de Janeiro, 1710-1711
1018|Apucarana (PR)
1019|História, 1541-1920
1020|Independência, 1776
1022|Resende, Astolpho Vieira De, 1870-1946
1023|História local
1024|História regional
1025|Comprehensive Medline de Ebsco (Linguagem de Programação de Computador)
1027|Fotografia jornalística
1029|Fotografia e história
1030|Descobertas geográficas
1031|Papel
1032|Desacidificação
1035|Geopolítica
1036|Bruno, José Pereira de Sampaio,1857-1915
1038|Engenho Central de Quissamã
1039|Pelourinho (Salvador, BA)
1040|História, 1543-1618
1041|Prática religiosa
1042|Bocage, Francisco Du
1043|Fidanza, Felipe Augusto
1044|Azevedo, Militão Augusto De, 1837-1905
1045|Fotógrafos
1047|História, 1930-1990
1049|Polícia política
1050|História, 1889-1933
1051|Mello (Família)
1052|Itú (SP)
1053|Rocha Pimentel (Família)
1054|Medella (Família)
1055|Abrigo Salvador
1057|Archivo Di Stato Di Taranto
1058|Itália
1059|Arquivos notariais
1060|Taranto
1061|Política de Informação
1062|Comunidade Européia
1063|Vídeo-Disco
1064|Arquivistas
1065|Arquivística
1066|Gestão de documentos
1067|Cooperação
1068|Documentos informáticos
1072|Arquivos correntes
1074|Arquivos privados
1076|Arquivos pessoais e familiais
1077|Bari
1078|Archivio Di Stato Di Bari
1079|Navegação e navegantes
1080|Navarros na América
1081|Espanhois na América
1082|Franceses na América
1083|Reino Unido
1086|Bandeira, João Carneiro de Souza, 1865-
1087|Navios
1088|Índios da América do Norte
1090|Manuscritos
1093|Institute Of Certified Records Managers
1094|Archivo Storico Del Comune Di Firenze (Itália)
1095|Arquivos Municipais
1096|Firenze
1097|Diplomática
1098|Inventários
1102|Política Nacional de Arquivos
1103|Japão
1104|Danças Folclóricas
1105|Universidade de São Paulo. Faculdade de Direito
1110|Séculos XVI-XVIII
1111|Granada (Espanha)
1112|História, 1232-1492
1113|Muçulmanos na Espanha
1114|Língua espanhola
1115|Política Naval
1116|Direitos humanos
1117|Relações comerciais
1118|Beneditinos na Bahia
1119|História, 1826-1888
1120|Cangaceiros
1121|Silvino, Antônio, 1875-1944
1123|Igreja de Nossa Senhora da Madre de Deus (Porto Alegre, RS)
1124|História, 1772-1940
1125|Fundação Ford
1126|História, 1822
1127|História, 1820-1834
1128|Archivio Di Stato Di Taranto (Itália)
1130|Ética profissional
