cod_autor|nome_completo
779|Franqueira, Ana
780|Goodman, Susan K.
781|Guercio, Maria
782|Lafronza, Anna
783|Luzzana Caraci, Ilaria
784|Andres-gallego, José
785|Meyer, Jean
786|Aspinwall, Bernard
787|Hera, Alberto de la
788|Bandeira, João Carneiro de Souza
789|Martinez-hidalgo, José Maria
790|Leon-portilla, Miguel
791|Machado, Lielza Lemos
792|Alcina Franch, José
793|Bradley, Peter T.
794|Minton, Carolyn R.A
795|Ormanni, Enrica
796|Penn, Ira A.
797|Pieri, Sandra
798|Pratesi, Alessandro
799|Romiti, Antonio
800|Skupsky, Donald S.
801|Silva, Jaime Antunes da
802|Stephens, David O.
803|Soares, Doralécio
804|Brandão, Theo
805|Pimentel, Altimar de Alencar
806|Vampre, Spencer
807|Souza, Oswaldo de
808|Diégues Júnior, Manuel
810|Azevedo, Fernando Correia de
811|Ferretti, Sérgio
812|Brandão, Carlos Rodrigues
813|Benjamin, Roberto
814|Castro, Zaide Maciel de
815|Lody, Raul Giovanni
816|Dantas, Beatriz G.
817|Bonnichon, Philippe
818|Villalobos R., Sérgio
819|Arie, Raquel
820|Tadeschi, Mário
821|Garrido Dominguez, Antônio
822|Morencos, Fernando de Bordeje
824|Martin Lou, Maria Asuncion
825|Ruiz Rivera, Julian B.
826|Garcia Bernal, Cristina
827|Serrano Mangas, Fernando
828|Silva, Nancy Ribeiro de Araújo e
829|Falci, Miridan Britto Knox
830|Baptista, F. Chagas
831|Silva, Maria Beatriz Nizza da
833|Graf, Marcia Elisa de Campos
834|Batista, Sebastião Nunes
835|Balem, João Maria
836|Schwartzman, Simon
837|Miceli, Sergio
838|Mota, Giselda
841|Moreira, Paulo Sérgio
842|Oliveira, Paulo Sales
843|Godechot, Jacques
845|Serrão, Joel
846|Tarantini, Silvana
847|Theofanos, Mary F.
848|Phillips, John T.
849|Blanco, Ricardo Roman
850|Mello, Fernando Figueira de
851|Barreto, Margarita
853|Abrahão, Fernando Antônio
854|Lane, Sandra Souza
855|Ribeiro, Célia Maria
856|Portocarrero, Hélio
857|Correa, Paulo Guilherme
858|Burlamaqui, Leonardo
859|Fagundes, Jorge
860|Santos, Wanderley Guilherme dos
861|Albuquerque, Wellington Brilhante de
862|Miranda, Reginaldo Moreira de
863|Brumer, Anita
864|Giacobbo, Elisa Olivia
865|Debes, Célio
866|BAHIA. Leis etc
867|Costa, Emília Viotti da
868|Mota, Ático Vilas Boas da
869|Morse, Grant W.
870|Lima, Eusébio de Queiroz
872|Guerra, Flávio da Motta
873|Perea, Romeu
874|Bta Vilar, Juan
875|Ruiz De Azua, Estibaliz
876|Basbaum, Leôncio
877|BAHIA. Companhia de Desenvolvimento da Região Metropolitana de Salvador
878|Badke, Arleida Penha
880|Bacelar, Jeferson Afonso
881|Souza, Maria Conceição Barbosa de
882|Barros, Adirson de
883|Balhana, Altiva Pilatti
884|Beiguelman, Paula
885|Bastos, Arthur de Magalhães
886|Benjamin, José
887|Bastos, Aureliano Candido Tavares
888|Beyer, Gustavo
889|Vieira, Alberto
890|Jones, Charles
891|Wernet, Augustin
892|Banab, Maria Aparecida Rocha
893|Queiróz, Fernando Pinto de
894|Pereira, Lígia Maria Leite
895|Duranti, Luciana
896|Antoniella, Augusto
897|ARCHIVO DEL REINO DE GALICIA
898|Boaga, Emanuele
899|Buchmann, Wolf
900|Neves, Guilherme Santos
902|Cascudo, Luis da Câmara
905|BRASIL. Ministério da Educação e Cultura. Secretaria Geral-Cetremec
906|Vila Nova, Sebastião
907|Araújo, Angela Maria Carneiro
908|Barbosa, Cely Dantas
909|Brancato, Braz Augusto Aquino
910|Cezar, Osvaldina Silva
911|Matos, Sílvia Newton de Lemos
912|Neves, Maria Emília Valente
913|Silva, Marina Salomé Bastos da
914|Beluzzo, Ana Maria de Moraes
915|Bastos, Cláudio de Albuquerque
916|Bel Bravo, Maria Antônia
917|Cespedes Del Castilho, Guillermo
918|Weinberg, Maria Beatriz Fontanella De
919|Perez Herrero, Pedro
920|G. Ramirez, Arnulfo
921|Lopez Morales, Humberto
922|Pazos, Anton M.
923|Muriel, Josefina
924|Cuesta Domingo, Mariano
925|Saenz-dieg, Juan Ignacio
926|Asin, Francisco
927|Ballestros, Manuel Gaibros
929|Sanchez Barba, Mario Hernandez
930|Uslar Pietri, Arturo
931|Alvar, Manuel
932|Castaneda Delgado, Paulino
933|Rodriguez Gonzalez, Jesus Jeronimo
934|Castro, Fábio de Gennaro
935|Campos, Arthur Nogueira
936|Martins, Roberto Vasconcellos
937|Brazil, Lael Vital
938|Breves Filho, Reynato Frazão de Souza
940|Franco, Nelson Pinheiro
941|Santos Neto, José Antônio de Paula
942|Jaccottet, Alda Maria de Moraes
943|Bibiano, Neide
944|Vallin, João R. de Aguiar
946|Matoso, Gilberto de Queiroz
947|Fernandes, Aníbal de Almeida
948|Novaes, Israel Dias
949|Ramos, Adalto
950|Caballero, A.
951|Borba, Frederico de Assis Pacheco
952|Barros, José Fernandes Cadeno
953|Schimmelpfeng, Gisela Paschen
956|Godoy, José Eduardo Pimentel de
958|Cunha, Rui Vieira da
959|Pires, Mario Jorge
960|Isoldi, Maria Celina Exner Godoy
961|Furlan, Osório Henrique
963|Pinheiro, Maria Aparecida de Queiroz Telles
964|Giffoni, Maria Amalia Correa
965|BRASIL. Ministério da Educação e Cultura. Departamento de Pessoal (Cetremec)
966|Rodrigues, Jane de Fatima Silva
968|Leite, José Costa
969|MUSEU DE ARTE POPULAR
972|Carvalho, Eleazar de
973|Lopes, Onofre
